invoice_id,store_id,customer_id,invoice_date,payment_method,line_item,product_id,quantity,unit_price,discount
1,24,,2025-12-15 19:41:00,Cash,1,2253,1,6.98,0
1,24,,2025-12-15 19:41:00,Cash,2,1684,6,4.23,0
1,24,,2025-12-15 19:41:00,Cash,3,147,3,5.1,0
1,24,,2025-12-15 19:41:00,Cash,4,550,1,31.75,0
1,24,,2025-12-15 19:41:00,Cash,5,1152,3,9.89,0.15
1,24,,2025-12-15 19:41:00,Cash,6,1408,5,3.09,0.15
2,15,762,2024-09-04 08:31:00,Gift Card,1,390,2,2.67,0.05
2,15,762,2024-09-04 08:31:00,Gift Card,2,2037,5,7.14,0.15
2,15,762,2024-09-04 08:31:00,Gift Card,3,17,6,14.5,0.05
3,15,472,2024-01-18 08:41:00,Cash,1,29,4,25.61,0
3,15,472,2024-01-18 08:41:00,Cash,2,2032,3,12.84,0
3,15,472,2024-01-18 08:41:00,Cash,3,2451,5,14.11,0
3,15,472,2024-01-18 08:41:00,Cash,4,110,1,11.46,0.2
3,15,472,2024-01-18 08:41:00,Cash,5,1417,5,23.25,0
4,47,769,2025-11-21 07:18:00,PayPal,1,776,3,4.68,0
4,47,769,2025-11-21 07:18:00,PayPal,2,1175,1,10.14,0
4,47,769,2025-11-21 07:18:00,PayPal,3,1284,3,31.83,0.1
5,23,185,2025-09-17 20:07:00,Debit Card,1,2493,4,26.54,0.1
5,23,185,2025-09-17 20:07:00,Debit Card,2,35,4,3.1,0.2
5,23,185,2025-09-17 20:07:00,Debit Card,3,1549,3,33.64,0
5,23,185,2025-09-17 20:07:00,Debit Card,4,217,4,30.17,0.15
5,23,185,2025-09-17 20:07:00,Debit Card,5,1524,4,12.3,0.1
6,42,943,2025-01-19 15:54:00,Credit Card,1,1646,5,2.91,0
6,42,943,2025-01-19 15:54:00,Credit Card,2,994,4,9.68,0.1
6,42,943,2025-01-19 15:54:00,Credit Card,3,179,3,2.59,0
6,42,943,2025-01-19 15:54:00,Credit Card,4,231,3,10.1,0.05
7,15,933,2024-02-24 11:56:00,Cash,1,1916,2,6.89,0
7,15,933,2024-02-24 11:56:00,Cash,2,578,6,12.22,0.05
7,15,933,2024-02-24 11:56:00,Cash,3,2069,1,5.79,0
7,15,933,2024-02-24 11:56:00,Cash,4,2220,2,9.22,0
7,15,933,2024-02-24 11:56:00,Cash,5,1605,3,7.74,0
8,11,,2023-09-08 08:36:00,Gift Card,1,1663,5,4.61,0.2
8,11,,2023-09-08 08:36:00,Gift Card,2,125,5,9.18,0
8,11,,2023-09-08 08:36:00,Gift Card,3,345,6,16.18,0.15
8,11,,2023-09-08 08:36:00,Gift Card,4,6,1,34.84,0.15
8,11,,2023-09-08 08:36:00,Gift Card,5,1090,6,9.64,0.1
8,11,,2023-09-08 08:36:00,Gift Card,6,1765,4,19.71,0
8,11,,2023-09-08 08:36:00,Gift Card,7,128,4,4.79,0.2
8,11,,2023-09-08 08:36:00,Gift Card,8,1970,1,24.95,0.1
