product_id,sku,product_name,category,subcategory,brand,unit_price,cost,is_active
1,BEV-000001-723,Lays Cold Brew Coffee 48oz,Beverages,Drinks,Lays,5.78,3.68,True
2,SNA-000002-431,Hellmanns Potato Chips Classic 10oz,Snacks,Snacks,Hellmanns,7.01,4.04,True
3,BEV-000003-346,Kirkland Signature Spring Water 24x16.9oz Bottles,Beverages,Drinks,Kirkland Signature,13.59,10.43,True
4,FRO-000004-884,Doritos Vanilla Ice Cream Bars 6ct,Frozen,Frozen,Doritos,4.94,3.47,True
5,DAI-000005-993,Lays Salted Butter Sticks 16oz,Dairy,Dairy,Lays,8.39,6.48,True
6,MEA-000006-508,Dole Ground Pork 1lb,Meat,Butcher,Dole,34.84,24.37,True
7,SNA-000007-353,Coca-Cola Beef Jerky Original 2.85oz,Snacks,Snacks,Coca-Cola,3.92,2.46,True
8,MEA-000008-107,General Mills Deli Ham Sliced 1lb,Meat,Butcher,General Mills,7.12,4.95,True
9,GRO-000009-172,Chiquita Ketchup 20oz,Grocery,Pantry,Chiquita,7.31,4.49,True
10,SNA-000010-690,Heinz Popcorn Microwave Butter 6ct,Snacks,Snacks,Heinz,6.82,4.98,True
11,MEA-000011-774,Coca-Cola Ground Beef 80/20 1lb,Meat,Butcher,Coca-Cola,17.92,11.6,True
12,GRO-000012-761,Wonder Bread Mac & Cheese Dinner 7.25oz,Grocery,Pantry,Wonder Bread,2.44,1.57,True
13,PRO-000013-294,Nestle Baby Spinach 5oz Clamshell,Produce,Fresh,Nestle,7.56,4.4,True
14,FRO-000014-553,Horizon Organic Chicken Nuggets 24oz,Frozen,Frozen,Horizon Organic,12.78,9.55,True
15,SNA-000015-871,Horizon Organic Potato Chips Classic 10oz,Snacks,Snacks,Horizon Organic,11.22,6.6,True
16,MEA-000016-268,Kirkland Signature Ribeye Steak 12oz,Meat,Butcher,Kirkland Signature,16.36,12.71,True
17,FRO-000017-813,Private Selection Frozen Waffles 10ct,Frozen,Frozen,Private Selection,14.5,11.29,True
18,FRO-000018-403,Nestle Frozen Mixed Vegetables 12oz,Frozen,Frozen,Nestle,5.99,3.38,True
19,GRO-000019-158,Chiquita Chicken Broth 32oz,Grocery,Pantry,Chiquita,1.88,1.24,True
20,SNA-000020-620,Kirkland Signature Popcorn Microwave Butter 6ct,Snacks,Snacks,Kirkland Signature,2.23,1.32,True
21,MEA-000021-683,Coca-Cola Ribeye Steak 12oz,Meat,Butcher,Coca-Cola,12.38,8.5,True
22,BAK-000022-635,Heinz Whole Wheat Bread,Bakery,Bakery,Heinz,4.99,3.04,True
23,HOU-000023-505,Tyson Trash Bags Tall Kitchen 80ct,Household,Cleaning,Tyson,8.92,6.23,True
24,PRO-000024-736,365 Whole Foods Organic Bananas Bunch,Produce,Fresh,365 Whole Foods,12.97,10.1,True
25,MEA-000025-235,Tyson Rotisserie Chicken Whole,Meat,Butcher,Tyson,32.99,24.83,True
26,HOU-000026-548,Kraft Paper Plates 40ct,Household,Cleaning,Kraft,30.0,21.35,True
27,SNA-000027-936,Oscar Mayer Potato Chips Classic 10oz,Snacks,Snacks,Oscar Mayer,7.78,5.95,True
28,DAI-000028-209,Coca-Cola Salted Butter Sticks 16oz,Dairy,Dairy,Coca-Cola,9.98,5.85,True
29,MEA-000029-308,Chiquita Ground Pork 1lb,Meat,Butcher,Chiquita,25.61,19.11,True
30,BEV-000030-749,Horizon Organic Coca-Cola Classic 12x12oz Cans,Beverages,Drinks,Horizon Organic,8.36,5.13,True
31,DAI-000031-265,Tyson Almond Milk Unsweetened 64oz,Dairy,Dairy,Tyson,9.96,6.74,True
32,GRO-000032-807,Horizon Organic Spaghetti Pasta 16oz,Grocery,Pantry,Horizon Organic,11.87,8.02,True
33,SNA-000033-230,Private Selection Popcorn Microwave Butter 6ct,Snacks,Snacks,Private Selection,1.78,1.13,True
34,GRO-000034-315,Bounty Mayonnaise 30oz,Grocery,Pantry,Bounty,9.27,6.52,True
35,SNA-000035-867,Hellmanns Chocolate Bar Milk 1.55oz,Snacks,Snacks,Hellmanns,3.1,2.37,True
36,DAI-000036-283,Great Value Mozzarella Shredded 8oz,Dairy,Dairy,Great Value,9.91,6.21,True
37,MEA-000037-906,Kraft Bacon Sliced 12oz,Meat,Butcher,Kraft,26.03,16.61,True
38,FRO-000038-936,Nestle Chicken Nuggets 24oz,Frozen,Frozen,Nestle,14.05,8.86,True
39,MEA-000039-775,Great Value Pork Chops Bone-In 1lb,Meat,Butcher,Great Value,10.78,6.74,True
40,BEV-000040-621,Wonder Bread Green Tea Bags 20ct,Beverages,Drinks,Wonder Bread,8.09,6.28,True
41,GRO-000041-282,Tyson Spaghetti Pasta 16oz,Grocery,Pantry,Tyson,8.08,6.27,True
42,BAK-000042-546,Chiquita Blueberry Muffins 4ct,Bakery,Bakery,Chiquita,8.38,5.59,True
43,MEA-000043-825,Kirkland Signature Bacon Sliced 12oz,Meat,Butcher,Kirkland Signature,18.07,12.1,True
44,MEA-000044-171,Private Selection Ground Turkey 1lb,Meat,Butcher,Private Selection,33.46,25.49,True
45,PRO-000045-619,Dole Clementines 3lb Bag,Produce,Fresh,Dole,4.91,3.16,True
46,BEV-000046-296,Pepsi Apple Juice 64oz Bottle,Beverages,Drinks,Pepsi,8.33,6.38,True
47,DAI-000047-408,Heinz Vanilla Ice Cream Gallon,Dairy,Dairy,Heinz,6.04,4.48,True
48,MEA-000048-721,Heinz Ribeye Steak 12oz,Meat,Butcher,Heinz,24.63,16.18,True
49,MEA-000049-912,Nature Valley Rotisserie Chicken Whole,Meat,Butcher,Nature Valley,32.03,23.48,True
50,PRO-000050-779,Lays Roma Tomatoes 2lb Package,Produce,Fresh,Lays,8.7,5.46,True
51,MEA-000051-330,Dole Chicken Thighs Family Pack,Meat,Butcher,Dole,29.19,17.04,True
52,FRO-000052-524,365 Whole Foods Vanilla Ice Cream Bars 6ct,Frozen,Frozen,365 Whole Foods,13.68,9.34,True
53,BAK-000053-349,Tide Cinnamon Rolls 8ct,Bakery,Bakery,Tide,3.02,2.14,True
54,PRO-000054-324,Private Selection Romaine Hearts 3ct,Produce,Fresh,Private Selection,3.35,2.58,True
55,GRO-000055-968,General Mills Granulated Sugar 4lb Bag,Grocery,Pantry,General Mills,2.71,1.57,True
56,SNA-000056-424,Hellmanns Cookies Sandwich 15.25oz,Snacks,Snacks,Hellmanns,12.41,9.37,True
57,SNA-000057-556,Doritos Chocolate Bar Milk 1.55oz,Snacks,Snacks,Doritos,11.79,8.5,True
58,BEV-000058-383,Wonder Bread Spring Water 24x16.9oz Bottles,Beverages,Drinks,Wonder Bread,12.3,8.24,True
59,BEV-000059-830,Horizon Organic Sparkling Water Lime 8x12oz,Beverages,Drinks,Horizon Organic,6.78,4.15,True
60,SNA-000060-254,Pepsi Tortilla Chips Restaurant Style 13oz,Snacks,Snacks,Pepsi,4.0,2.84,True
61,PRO-000061-438,Private Selection Russet Potatoes 5lb Bag,Produce,Fresh,Private Selection,7.64,4.93,True
62,BAK-000062-812,Heinz Tortillas Flour 10ct,Bakery,Bakery,Heinz,1.52,1.14,True
63,FRO-000063-405,Bounty Frozen Pizza Pepperoni 12in,Frozen,Frozen,Bounty,12.15,9.07,False
64,BAK-000064-919,Doritos Baguette French,Bakery,Bakery,Doritos,8.35,5.02,True
65,BAK-000065-498,Great Value Cinnamon Rolls 8ct,Bakery,Bakery,Great Value,5.22,3.69,True
66,DAI-000066-737,Pepsi Half and Half Quart,Dairy,Dairy,Pepsi,7.54,5.72,True
67,GRO-000067-538,Wonder Bread Spaghetti Pasta 16oz,Grocery,Pantry,Wonder Bread,2.88,1.89,True
68,BAK-000068-565,Nestle Blueberry Muffins 4ct,Bakery,Bakery,Nestle,5.11,3.71,True
69,BAK-000069-581,Horizon Organic Donuts Glazed 12ct,Bakery,Bakery,Horizon Organic,1.52,1.02,False
70,HOU-000070-170,Wonder Bread Trash Bags Tall Kitchen 80ct,Household,Cleaning,Wonder Bread,28.43,19.9,True
71,MEA-000071-736,Great Value Pork Chops Bone-In 1lb,Meat,Butcher,Great Value,9.56,5.54,True
72,MEA-000072-362,Folgers Italian Sausage Links 12oz,Meat,Butcher,Folgers,28.0,16.48,True
73,PRO-000073-418,Kraft Romaine Hearts 3ct,Produce,Fresh,Kraft,2.55,1.42,True
74,BAK-000074-303,Folgers Tortillas Flour 10ct,Bakery,Bakery,Folgers,2.18,1.55,True
75,PRO-000075-970,Dole Clementines 3lb Bag,Produce,Fresh,Dole,9.3,6.84,True
76,GRO-000076-538,Doritos Olive Oil Extra Virgin 16.9oz,Grocery,Pantry,Doritos,9.03,5.11,True
77,GRO-000077-942,Private Selection Ketchup 20oz,Grocery,Pantry,Private Selection,7.03,4.57,True
78,FRO-000078-280,Private Selection Frozen Mixed Vegetables 12oz,Frozen,Frozen,Private Selection,11.93,9.21,True
79,SNA-000079-546,365 Whole Foods Beef Jerky Original 2.85oz,Snacks,Snacks,365 Whole Foods,10.95,7.51,True
80,MEA-000080-561,Tyson Ground Beef 80/20 1lb,Meat,Butcher,Tyson,12.31,8.09,True
81,BAK-000081-606,Great Value Blueberry Muffins 4ct,Bakery,Bakery,Great Value,11.25,6.66,True
82,BEV-000082-710,Tyson Green Tea Bags 20ct,Beverages,Drinks,Tyson,11.55,7.09,True
83,MEA-000083-837,General Mills Ground Beef 80/20 1lb,Meat,Butcher,General Mills,17.18,11.64,True
84,FRO-000084-911,365 Whole Foods Frozen Berries Blend 16oz,Frozen,Frozen,365 Whole Foods,3.69,2.28,True
85,MEA-000085-695,Oscar Mayer Bacon Sliced 12oz,Meat,Butcher,Oscar Mayer,16.06,10.88,True
86,SNA-000086-819,Bounty Granola Bars Chewy 6ct,Snacks,Snacks,Bounty,6.6,4.1,True
87,MEA-000087-860,Coca-Cola Ground Turkey 1lb,Meat,Butcher,Coca-Cola,21.07,15.28,True
88,MEA-000088-383,Nature Valley Ground Pork 1lb,Meat,Butcher,Nature Valley,26.73,20.71,True
89,BEV-000089-403,Nestle Pepsi Cola 12x12oz Cans,Beverages,Drinks,Nestle,6.11,3.61,True
90,SNA-000090-146,Tyson Popcorn Microwave Butter 6ct,Snacks,Snacks,Tyson,12.69,8.59,True
91,DAI-000091-205,Nature Valley Almond Milk Unsweetened 64oz,Dairy,Dairy,Nature Valley,11.5,7.84,True
92,FRO-000092-152,Kraft French Fries Crinkle 32oz,Frozen,Frozen,Kraft,6.39,4.78,True
93,PRO-000093-175,Nature Valley Russet Potatoes 5lb Bag,Produce,Fresh,Nature Valley,8.04,5.69,True
94,BEV-000094-221,General Mills Pepsi Cola 12x12oz Cans,Beverages,Drinks,General Mills,9.91,6.4,True
95,MEA-000095-561,Tide Rotisserie Chicken Whole,Meat,Butcher,Tide,32.25,19.94,True
96,BAK-000096-735,Heinz Donuts Glazed 12ct,Bakery,Bakery,Heinz,1.99,1.53,True
97,MEA-000097-370,Nestle Chicken Thighs Family Pack,Meat,Butcher,Nestle,24.8,14.54,True
98,PRO-000098-518,Great Value Gala Apples 3lb Bag,Produce,Fresh,Great Value,6.56,4.5,True
99,MEA-000099-389,Folgers Bacon Sliced 12oz,Meat,Butcher,Folgers,26.08,17.07,True
100,BEV-000100-777,Heinz Cold Brew Coffee 48oz,Beverages,Drinks,Heinz,12.73,7.58,True
101,MEA-000101-372,Pepsi Chicken Thighs Family Pack,Meat,Butcher,Pepsi,29.79,16.87,True
102,BEV-000102-395,Heinz Sports Drink Variety 6x20oz,Beverages,Drinks,Heinz,8.54,5.62,True
103,BAK-000103-652,Lays Donuts Glazed 12ct,Bakery,Bakery,Lays,7.07,4.02,True
104,BAK-000104-356,Hellmanns Blueberry Muffins 4ct,Bakery,Bakery,Hellmanns,1.59,0.96,True
105,GRO-000105-941,Oscar Mayer Salsa Medium 16oz,Grocery,Pantry,Oscar Mayer,4.44,2.48,True
106,FRO-000106-552,Wonder Bread Frozen Lasagna Family Size,Frozen,Frozen,Wonder Bread,14.02,8.3,True
107,FRO-000107-456,Nature Valley Vanilla Ice Cream Bars 6ct,Frozen,Frozen,Nature Valley,8.19,5.11,True
108,DAI-000108-810,Private Selection Sour Cream 16oz,Dairy,Dairy,Private Selection,7.09,4.98,True
109,SNA-000109-190,365 Whole Foods Potato Chips Classic 10oz,Snacks,Snacks,365 Whole Foods,4.97,3.1,False
110,BAK-000110-773,Great Value Baguette French,Bakery,Bakery,Great Value,11.46,7.52,True
111,SNA-000111-874,Hellmanns Granola Bars Chewy 6ct,Snacks,Snacks,Hellmanns,7.12,4.64,True
112,BEV-000112-394,Pepsi Apple Juice 64oz Bottle,Beverages,Drinks,Pepsi,8.53,6.06,True
113,MEA-000113-418,Kraft Ground Pork 1lb,Meat,Butcher,Kraft,21.52,14.57,True
114,PRO-000114-763,Coca-Cola Fresh Strawberries 16oz,Produce,Fresh,Coca-Cola,11.03,7.33,True
115,SNA-000115-954,Private Selection Mixed Nuts Roasted 15oz,Snacks,Snacks,Private Selection,6.94,4.57,True
116,DAI-000116-713,Nestle Mozzarella Shredded 8oz,Dairy,Dairy,Nestle,7.24,5.45,True
117,BEV-000117-906,Chiquita Energy Drink Original 4x16oz,Beverages,Drinks,Chiquita,9.33,6.89,True
118,BEV-000118-775,Heinz Sports Drink Variety 6x20oz,Beverages,Drinks,Heinz,9.12,5.33,True
119,HOU-000119-881,Doritos Surface Cleaner Spray 22oz,Household,Cleaning,Doritos,21.29,13.94,True
120,MEA-000120-685,General Mills Ground Pork 1lb,Meat,Butcher,General Mills,16.48,12.31,True
121,HOU-000121-822,Nature Valley Fabric Softener 60oz,Household,Cleaning,Nature Valley,32.39,20.65,False
122,DAI-000122-229,Kirkland Signature Half and Half Quart,Dairy,Dairy,Kirkland Signature,7.17,4.92,True
123,FRO-000123-567,Lays Vanilla Ice Cream Bars 6ct,Frozen,Frozen,Lays,3.67,2.14,True
124,DAI-000124-900,Nature Valley Large Grade A Eggs 12ct,Dairy,Dairy,Nature Valley,12.63,7.93,True
125,PRO-000125-972,Chiquita Cucumber 3ct,Produce,Fresh,Chiquita,9.18,6.18,False
126,FRO-000126-732,Kirkland Signature Frozen Lasagna Family Size,Frozen,Frozen,Kirkland Signature,4.28,2.98,True
127,MEA-000127-544,Horizon Organic Ground Pork 1lb,Meat,Butcher,Horizon Organic,34.34,24.89,True
128,PRO-000128-810,Kraft Fresh Strawberries 16oz,Produce,Fresh,Kraft,4.79,2.67,True
129,GRO-000129-483,Bounty Canned Black Beans 15oz,Grocery,Pantry,Bounty,6.33,3.84,True
130,DAI-000130-180,Kraft Sharp Cheddar Cheese Block 8oz,Dairy,Dairy,Kraft,8.42,5.37,True
131,FRO-000131-572,General Mills Frozen Mixed Vegetables 12oz,Frozen,Frozen,General Mills,10.83,7.1,True
132,FRO-000132-659,Oscar Mayer Frozen Waffles 10ct,Frozen,Frozen,Oscar Mayer,5.31,3.46,True
133,BEV-000133-806,Private Selection Cold Brew Coffee 48oz,Beverages,Drinks,Private Selection,6.37,4.74,True
134,BAK-000134-342,Coca-Cola Cinnamon Rolls 8ct,Bakery,Bakery,Coca-Cola,5.75,3.64,True
135,BEV-000135-505,Oscar Mayer Coca-Cola Classic 12x12oz Cans,Beverages,Drinks,Oscar Mayer,6.65,4.52,True
136,GRO-000136-863,Hellmanns Mayonnaise 30oz,Grocery,Pantry,Hellmanns,7.1,5.38,True
137,MEA-000137-324,Bounty Deli Ham Sliced 1lb,Meat,Butcher,Bounty,24.09,16.69,True
138,DAI-000138-742,Coca-Cola Almond Milk Unsweetened 64oz,Dairy,Dairy,Coca-Cola,8.85,5.5,True
139,HOU-000139-192,Pepsi Fabric Softener 60oz,Household,Cleaning,Pepsi,32.28,20.18,True
140,MEA-000140-997,Doritos Atlantic Salmon Fillet 1lb,Meat,Butcher,Doritos,34.13,22.94,True
141,DAI-000141-925,Nature Valley Salted Butter Sticks 16oz,Dairy,Dairy,Nature Valley,4.74,3.56,True
142,FRO-000142-872,Pepsi Vanilla Ice Cream Bars 6ct,Frozen,Frozen,Pepsi,14.6,10.92,True
143,BAK-000143-192,Bounty Baguette French,Bakery,Bakery,Bounty,10.54,5.83,True
144,FRO-000144-866,Oscar Mayer French Fries Crinkle 32oz,Frozen,Frozen,Oscar Mayer,11.22,7.68,True
145,HOU-000145-339,Oscar Mayer Laundry Detergent Liquid 100oz,Household,Cleaning,Oscar Mayer,19.13,13.25,True
146,HOU-000146-763,General Mills Batteries AA 24ct,Household,Cleaning,General Mills,6.89,5.1,True
147,BEV-000147-219,Private Selection Cold Brew Coffee 48oz,Beverages,Drinks,Private Selection,5.1,3.91,True
148,FRO-000148-340,Coca-Cola Vanilla Ice Cream Bars 6ct,Frozen,Frozen,Coca-Cola,13.69,7.96,True
149,SNA-000149-860,Heinz Chocolate Bar Milk 1.55oz,Snacks,Snacks,Heinz,9.79,7.38,True
150,FRO-000150-133,Tyson Fish Sticks 15oz,Frozen,Frozen,Tyson,11.43,6.86,True
151,MEA-000151-802,Coca-Cola Ground Turkey 1lb,Meat,Butcher,Coca-Cola,16.01,12.13,True
152,GRO-000152-294,Tyson Honey Wheat Bread Loaf,Grocery,Pantry,Tyson,12.62,9.7,True
153,PRO-000153-757,Nestle Green Seedless Grapes 2lb,Produce,Fresh,Nestle,8.77,6.78,True
154,HOU-000154-905,Pepsi Trash Bags Tall Kitchen 80ct,Household,Cleaning,Pepsi,21.93,12.41,True
155,MEA-000155-932,Nestle Deli Ham Sliced 1lb,Meat,Butcher,Nestle,31.08,19.44,True
156,GRO-000156-233,Pepsi Canned Black Beans 15oz,Grocery,Pantry,Pepsi,7.61,5.58,True
157,GRO-000157-466,Great Value Peanut Butter Creamy 16oz,Grocery,Pantry,Great Value,10.53,6.37,True
158,DAI-000158-229,Kirkland Signature Salted Butter Sticks 16oz,Dairy,Dairy,Kirkland Signature,9.97,6.69,True
159,FRO-000159-625,Bounty Frozen Berries Blend 16oz,Frozen,Frozen,Bounty,10.32,6.75,True
160,GRO-000160-633,Oscar Mayer Chicken Broth 32oz,Grocery,Pantry,Oscar Mayer,4.82,3.36,True
161,FRO-000161-802,Private Selection Fish Sticks 15oz,Frozen,Frozen,Private Selection,4.73,3.38,True
162,PRO-000162-251,Hellmanns Yellow Onions 3lb Bag,Produce,Fresh,Hellmanns,2.06,1.26,True
163,SNA-000163-711,Tide Granola Bars Chewy 6ct,Snacks,Snacks,Tide,7.5,4.91,True
164,PRO-000164-217,Folgers Romaine Hearts 3ct,Produce,Fresh,Folgers,11.27,7.89,True
165,MEA-000165-333,365 Whole Foods Ribeye Steak 12oz,Meat,Butcher,365 Whole Foods,17.4,12.88,True
166,PRO-000166-420,Private Selection Yellow Onions 3lb Bag,Produce,Fresh,Private Selection,9.07,5.77,True
